qrel,ClarifyingQuestion
q_149,Which color blocks?
q_436,After you remove the one green block there are no more green blocks. Which green blocks are you referring to?
q_111,in any square west of the red blocks?
q_653,Should I destory east or west puyrple?
q_170,Where exactly am I placing the blue blocks?
q_479,What purple blocks? There are none only blue.
q_321,How do i place in the bottom if the purple are touching the ground?
q_236,Where on the map do I place the yellow block?
q_293,Should the two purple blocks I'm setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span?
q_965,How many blue blocks am I adding to the first just one on the north and one on the east?
q_712,How many blocks do I remove from the top? Do I remove the block on the far lower right once or twice I can't tell from the instructions?
q_362,Where is the yellow one? There is no yellow block?
q_467,There are no yellow or blue blocks. Do you want me to place them first?
q_925,There aren't any yellow or blue blocks do you need me to place them somewhere first?
q_288,Which direction do we first face before we remove the blue block?
q_366,The map appears empty to me. Can you clarify your instructions?
q_340,Do we build it horizontally or vertically?
q_673,Is it built on top of the left or right yellow block?
q_573,The board is empty.
q_280,How many green blocks do we destroy?
q_445,Which set of purple blocks east or west?
q_514,What color blocks do I place on the west and east side?
q_960,What yellow block?
q_737,The only vertical violet blocks that are consecutive are on the left side so which ones?
q_954,There aren't any yellow and blue blocks do you want me to place them first?
q_776,Diagonally in what direction?A purple one on top of which block?
q_315,You say left but left in terms of which direction where should i be facing for it to be left as orientation matters
q_580,Where are the blue blocks?
q_461,Where on the green blocks should the reds be placed?
q_773,What green blocks since there are none?
q_911,The instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall
q_342,do we place the 3 blocks next to each individual green box?
q_818,Do I place the orange blocks horizontally or vertical?
q_576,Should I place the yellow blocks next to the West most blocks or the East most blocks?
q_114,Where do I place two green ones?
q_603,Can you please specify which red one is on the left? (direction?)
q_360,There are five exposed surfaces total for this green block - what's the placement of these?
q_648,I can only place one block in the center.
q_775,There are no blue blocks on this board; where to place the green blocks and in what position?
q_981,Where do the 5 purple blocks placed horizontally to the left of the left block go as there's only space for 4 blocks horizontally?
q_572,There are no blocks to break. Also where should I start placing green blocks?
q_679,There are no green blocks. Where do I place the reds?
q_753,Does the orange row connect to the green column?
q_569,Where are the green blocks? I do not see any.
q_598,What blue blocks?
q_706,There is no blue block on the stucture
q_204,Which direction is top left?
q_742,Which green blocks?
q_785,There is no orange blocks in the structure
q_937,Break two green blocks facing which direction?
q_133,Which blue blocks?
q_604,where are the blue blocks?
q_758,Which directions should the horizontal row span?
q_187,Which side of green is not given
q_984,Does the purple go no the West side of the East side?
q_336,Where should the green blocks be placed?
q_382,What do you mean by bottommost purple block of the floating column ? There is now purple block in floating column
q_228,Which three vertical red blocks?
q_30,Where is the orange block?
q_6,Which direction should all these new blocks go?
q_350,How many blocks do i need to total?
q_874,Which side I need to make the rectangle is not clear
q_592,Should the purple blocks be on top of each other?
q_544,"For the instruction ""Reducing the height by one block at a time."" Do I do this until all of the blocks are gone?"
q_325,What do you mean by south and right of the red block? What direction do I face?Why does it say a total of 4 blocks should be placed when it only says to place 3?
q_895,There is no green block in the given structure so where I need to start from
q_57,Are you referring to the edges of the board?
q_534,Where is this line of blocks?
q_588,There are no red blocks directly north so hard to know where to start
q_137,There are no purple blocks on this board; is it the blue ones that should be removed?
q_987,Are three green blocks placed on the newest block or the initial east-most green block?
q_98,Am I standing on the west side and placing on the east side or standing on the east side and placing on the west side?
q_388,How many blue blocks do I place in each corner?
q_393,In the center of the board or do you mean between the two purple columns / beneath the red column?
q_614,I don't know if they mean horizontal from East to West or North to South
q_724,In which direction should the three horizontal blocks go?
q_221,Bo starting point for the orange blocks so not sure where the center is
q_146,Which three purple blocks on the right side?
q_527,Where in the center should they go?
q_805,center of what?
q_75,Where in the center should the three orange blocks be placed?
q_803,When in the center which direction do we go?
q_281,BNot sure where center is no starting point given
q_39,Should the orange blocks be placed and oriented to the east west north or south?
q_46,Where in the center do they go?
q_511,I don't know where the center is. The center of the structure or the center of the grid?
q_553,What two yellow blocks?
q_418,Where should I place the orange block? What row is referred to here or where should I place one?
q_341,What yellow blocks?
q_214,There aren't any blocks to break. Do I just place the blocks then?
q_916,Where do you want the vertical placement?
q_190,which yellow blocks?
q_730,Where are the two yellow lower blocks to break there are only purple and red blocks?
q_185,Facing North from where?
q_509,Where do I place the vertical yellow blocks?
q_931,Where are the two lower yellow blocks there are only green blocks in this structure?
q_733,Which direction do the subsequent blocks go from the middle?
q_457,Horizontally on which squares in the center?
q_820,Center of what and where exactly?
q_369,Which directions should the row span?
q_389,In which direction should the line of green blocks be going?
q_862,Which squares do I build the row of orange blocks?
q_277,Which direction do the three blocks head go in?
q_29,Which direction should the line of blocks go from front to end?
q_82,Where in the center do I place three green blocks horizontally?
q_681,"Does ""Where south meets east"" mean in the SE corner?"
q_25,Which direction horizontally should the green blocks be placed as the red structure is in the way?
q_787,The center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on
q_476,Which direction should the row be going? At what level of the structure should the row be placed?
q_968,In the center of what?
q_480,Which direction should I be facing so I know which way the two blocks next to the center one should go?
q_599,There is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks
q_716,What block do I destroy first?
q_398,Which direction should I place the green blocks and should it interact with the existing structure?
q_378,Where is the center place?
q_566,Which directions should the horizontal row of blocks span?
q_980,Which Center is not specified
q_788,How far East do I go to start building?
q_928,What platform?
q_38,On which side of the structure should I place the feet?
q_618,What color should the four blocks be?
q_151,Break a red block on top of where?
q_660,Break a red block where?
q_813,Put three green ones where?
q_516,There was no red block but instead a purple block
q_375,There is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones.
q_789,What do they mean by cherry and stem why not just say red and green blocks here confusing the build
q_945,What direction do I face to place the blue blocks?
q_85,What red block?
q_104,Which block should first be broken from left to right?
q_291,There is no red block for me to break so i am unsure of where i should start building the green blocks. Should i break the purple and build from there
q_233,Where is the red block located?
q_429,I cannot remove a red block so are you sure about the color?
q_174,There are no red blocks in the world already so i do not know where to start building
q_58,There doesn't appear to be a red block here. Can you clarify? Also what orientation should the green ones be placed in?
q_627,Where is the red block you're referring to?
q_854,There are no blocks anywhere so i do not know where to start as the first command is to break and build from there.
q_129,"How many total green blocks need to be broken?What is the ""stem""?"
q_597,Should the three purple blocks be arranged vertically or horizontally?
q_898,There are no red blocks to break. Where do I put the green ones?
q_590,Skip one row on the west edge of the board from where?
q_435,There are no red blocks. Where do the green blocks go?
q_700,There is no red block on the structure to start the build order from so not sure where to start
q_522,Which red block should be broken and in what orientation should the three green ones be placed?
q_497,There is no left purple pillar did you mean on the left blue pillar?
q_134,The board is empty so there are no red blocks to break. Where should the green blocks be placed?
q_823,Where are the blocks located?
q_15,Do I destroy the lowest purple block in the vertical row as well?
q_900,Which red blocks? Which direction should the green blocks be going horizontal or vertical?
q_333,Where is the red block on top?
q_143,A red block on top of what?Where do I put three green ones?
q_459,The starting point given is not clear no red block to start from so cannot place the green ones anywhere
q_107,Where are the red ones?  Only yellow is there.
q_326,There are no blocks placed currently so i do not know where to start. Should i start just placing the green blocks in a certain corner or something
q_209,Which squares do I place the orange blocks on next to the purple blocks?
q_208,What red blocks?
q_739,There are no red blocks. Where do I place the green blocks and facing what direction?
q_141,There are no red blocks where do I put the green blocks?
q_327,There are no red blocks. Where would you like the green ones placed?
q_245,Where on the grid should the blue blocks be placed?
q_352,Where are the red blocks located?
q_347,Where to the right of the red blocks are three green blocks to be placed?
q_89,Which way should I be facing? Where do the green blocks go?
q_164,There are no green blocks can you please specify? The grid is empty.
q_703,What red blocks? Place them how horizontally or vertically?
q_106,Which right are you referring too?
q_839,Where are the red blocks?
q_481,On the ground or not? Vertically or horizontally? In which direction?
q_343,Do you want the purple blocks vertical or horizontal?
q_493,This violates the directions of the task instructions.
q_261,From which direction are we looking at the highest purple block?
q_767,Place three green blocks to the right of the red ones where?
q_252,First there are no red blocks for me to start building the green but second i do not have a starting direction so right does not help Should i face north and then build right?
q_406,What does a cross shape look like?
q_416,Which red blocks?
q_889,Where are two red blocks to be broken?
q_690,What color should the row be built with?
q_385,From which direction should the rows come from?
q_402,Where are the red blocks? Where should the green blocks be placed?
q_485,This question doesn't make sense. Am I supposed to place more green blocks?
q_468,Where are the red blocks you broke?
q_692,Which direction should we be facing when breaking the two blocks?
q_729,There's only one block to break where's the other one?
q_678,Left of what because all I see is a single stack of blocks?
q_109,Which direction should I be facing when I do this?
q_74,From which left should I break the blocks?
q_395,Which two blocks on the left should be removed?
q_698,Where should the green ones be placed?
q_17,Which blocks on the left should be broken and where do I place green blocks?
q_591,Which direction should I be facing? What should the green block row be horizontal to the ground or the remaining blocks?
q_658,Which two blocks specifically?
q_713,Where do I place the green blocks?
q_140,Where on the grid should the blue block stack begin?
q_528,On which face of the orange block should the other orange blocks be facing?
q_677,Break two blocks from which figure?
q_759,Which ones on the left should be broken and where do I place the green blocks?
q_0,Where should two green blocks be placed horizontally?
q_765,Break two blocks from the left of what?
q_466,Break two blocks from the left of where?
q_437,From which left am I supposed to break the blocks?
q_744,Where should two green blocks be placed blocks horizontally relative to the already placed blocks?
q_356,What direction should I face while breaking the two blocks?
q_519,Which side should I be facing to locate the left of the figure? What color blocks should I break?
q_941,Where should the first block be placed?
q_308,Where should the second blue block be placed on the stock of blocks?
q_417,Where should I place the first block?
q_790,I am not sure where you want me to place the three green blocks horizontally could you give me a starting point
q_881,Where should the green blocks specifically be placed?
q_102,Should the purple blocks be placed in the center of the grid or the structure?
q_386,Which green blocks specifically should be destroyed?
q_127,Where do I start to place the horizontal blocks?
q_877,Where should three green blocks be placed horizontally?
q_893,Are we placing the green blocks under the floating red block?
q_279,How many blue blocks should be used in order to form a cross shape?
q_918,Where in the first column from the first row should three green blocks be placed?
q_792,Where exactly should the green blocks go?
q_22,Where should the blocks be placed?
q_610,Where should the row of green blocks be placed?
q_637,Place 1 blue block on the left and right sides of what?
q_720,What direction should I build the horizontal line?
q_633,Horizontally where?
q_977,On the square directly to the right of the red blocks?
q_269,Where do I start placing the first green block on top of the structure?
q_887,Where do I place the four purple blocks vertically?
q_896,horizontally towards which direction?
q_403,Do you want the blue blocks adjacent to the yellow blocks or above the green blocks?
q_786,Stack three purple blocks on top of the old or the newest south-most block?
q_579,Where do I start placing the blue blocks?
q_53,There are many purple blocks which one should be destroyed?
q_161,Where on the western green stack should a blue block be placed?
q_120,Which one of the rightmost blocks should be removed?
q_671,Which block is the bed block?
q_817,Where should the first block be placed on the grid?
q_545,Which block is the left green block on which to place another green block?
q_428,Which 3 blocks should be destroyed?
q_157,Were the broken red blocks at the bottom of the structure?
q_302,On which block do I place the ones below?
q_686,"What do you mean by ""the spots closest to South"". Which spots?"
q_948,Where does the final green block go? On top of or next to the orange one?
q_715,There are 3 purples so which do you want destroyed? Also build which blocks?
q_962,In which direction should I be mirroring the structure? What is the starting point?
q_494,In a row going which direction?
q_19,Which purple block is closest to the ground since there's more than one?
q_377,There's nowhere west to place a block once I make the columns so where should that block go?
q_685,horizontally where? where should the line start? Which direction?
q_211,There are no blocks to start with so where should i start building which direction am i looking should i maybe start in the center of the grid and which direction should i build towards
q_869,On what side of the bottom green block should a blue block be placed?
q_840,Where is the purple block with a space underneath it to put the orange block?
q_932,Where should three green blocks be placed horizontally relative to the other blocks already placed?
q_555,Create two more of what color of block to place on top of the 2 in the right corner forming a backwards L shape?
q_797,Touching which last green block should two orange blocks and a purple block be placed the last green block on the east edge of the board or the west edge of the board?
q_552,Where specifically do the green blocks go?
q_606,What color are the two blocks that I place next to the orange?How do I place the two blocks?
q_96,Where should three green blocks be placed horizontally relative to the already existing block structures?
q_611,There are no purple blocks what do you mean to destroy?
q_271,Where do I start placing green blocks and what orientation should I be facing?
q_492,Where do I place the green blocks and in which direction will they face?
q_625,Where do I start placing the green blocks?
q_194,Where do I place them on the grid?
q_357,Where do I start placing them?
q_460,Can you tell me where to put the green blocks specifically?
q_361,Where should I place the green blocks?
q_491,where do I place the first block?
q_231,Where should I start placing the green blocks?
q_884,in which direction should the horizontal blocks be placed? where should the horizontal blocks begin?
q_94,What direction do I face to place the green blocks?
q_272,How many yellow blocks? In what direction?
q_570,Could you give me a starting point for the green blocks perhaps from under the yellow column
q_914,What direction am I facing to place them?
q_626,where to place these three horizontal green blocks?What is the exact place to place it?
q_966,Where do I place the green blocks on the map?
q_530,I need a direction to look and a place to start for the green blocks should i start on in the center of the yellow collumn or maybe between the purple columns at the bottom a direction to look would help also.
q_835,Where should i start placing the blocks maybe the northeast or south east corner i need a spot to start placing the horizontal green blocks and a direction to look at
q_922,Where do I start placing the blocks on the 11x11 grid?
q_551,I do not know which direction to look left is different for north and south should i look north and break three bklocks from the lef and which three should i break could you give me a color
q_311,Which blocks?
q_808,Which gray spaces?
q_222,To the left of what?
q_59,on top of which block? There are so many dark blue blocks.
q_769,What square should the 3 blue block tower be built on?
q_852,facing which direction to destroy the block located on left?Where to build 4 yellow blocks in a row?
q_64,To the side of what?
q_471,where to put two green blocks? mention exact place.
q_890,What color are the blocks?
q_645,Put the two blocks to the side of what?
q_821,Where to the south should it be built?
q_629,which three blocks what color and which direction?
q_736,which side to place two green blocks? tell exact slot to build.
q_14,how to build 2 purple block on top of purple block if there in no block in the voxel world?
q_701,Build them to the south of what?
q_676,Where do I build the 3 blocks?
q_951,Do you mean underneath the rightmost blue block?
q_892,What side of the red block should the blue block be placed on?
q_950,What grids should the square be built on?
q_784,What order should the purple and red blocks be placed in?
q_908,What Color three blocks I need to place on top of the rightmost red block is not clear
q_155,How tall should the pile of blue blocks be?
q_349,The word built is phrased as it is already done do you mean build?
q_850,Do i stack all four on one red block?
q_919,What color is the block I need to place?
q_674,There is only space for one orange block so where should the other two blocks be?
q_131,Where should the green row begin and end? Where should the blue block be placed?
q_525,There's only space for one orange block so what is the placement of these orange blocks?
q_447,Should they be a column or a different shape?
q_899,How big should the cube be?
q_86,Which purple block to the block do i begin?
q_768,To the south of what? Where should the stack begin?
q_34,Can you be more specific about where the orange blocks should go?
q_944,I don't understand the instructions.  There is only one column I don't know what is meant by second or fourth columns.  I don't know where to begin.
q_781,What is the third column?
q_521,What is the second column?Is it the left or right one facing which direction?
q_639,On the bottom near the ground or in the middle?
q_110,Where is next in relation to the green block?
q_565,Is it a total of four blue blocks?
q_659,How many yellow blocks should be built?
q_731,Which 2 purple blocks?
q_652,Do I place the blue blocks below each yellow block?
q_879,What direction should I be facing when breaking the blocks?
q_682,How many red blocks?
q_594,In what order should I place the green orange and purple blocks?
q_607,Do the red blocks go besides the purple blocks and under the yellow blocks?
q_529,on left side which two purple blocks to be destroyed?Then exactly in which place to build 3 blue blocks in a row?
q_567,There is no purple blocks shown in the world.
q_722,Do you mean the vertical stack of red blocks?
q_778,Should it be the same size as the blue tower?
q_967,Do I build three green blocks on top of each yellow block on the top row?
q_363,Where did you place the first purple block?
q_499,Do you mean vertically or horizontally and how many?
q_66,Which yellow blocks need to be destroyed?
q_487,Can you be more specific about the location of the blocks to be placed?
q_807,Which purple cube is this?
q_335,There is no blue block in the South East corner please specify?
q_664,In second step Where to put the green block ? on which green blocks there are four in total.
q_872,On every side including diagonal and top?
q_940,"Which direction to fact in order to turn ""right""?"
q_359,Where should the new blue figure be placed?
q_323,"What direction should one be facing in order to turn ""left""?"
q_455,Do you want 16 blocks placed or did you mean vertically?
q_601,Please provide instructions to execute aside from movement?
q_589,How far east or west should I start building in relation to the purple structure?
q_791,Which block do the first two purple go under?
q_780,Which direction should the green block be placed?
q_31,Which blocks should I put the orange blocks next to? How many blocks?
q_138,Where do I need to stack the two purple blocks?
q_62,"What does ""place them next to each other"" mean? Where?"
q_746,How do you take blocks and move them?
q_568,What is cherry Not clear.
q_486,Where are the instructions about adding or removing blocks?
q_16,"Where is the purple where ""1 purple to the right of the purple"" is supposed to go?"
q_985,You cannot move blocks.
q_49,How many orange blocks?
q_384,In which direction should the 'stem' extend?
q_680,What orientation should the 3 yellow horizontal blocks be?
q_825,Both northern corners are equally near to the center of the grid please specify?
q_844,What are 'rub plugs'?
q_961,your instruction shows no proper specific slot to build.
q_407,Where is the blue cube? Place what to the right?
q_167,On which purple block should the two purple blocks be placed horizontally on the left?
q_48,What size should the pile be?
q_135,Do you want the yellow blocks placed horizontally or vertically and/or do you want them to touch one of the faces of the existing yellow blocks?
q_306,"What direction should I be oriented to understand ""left"" and ""right?"" Which block is ""the right block?"" at the end of instruction?"
q_70,Put the red block on top of which green block there is 2?
q_244,beside means which direction to the purple block?
q_902,there are many available on above. which block you are mentioning?
q_67,"What is my orientation in relation to ""yellow block to the right?"""
q_488,"By ""get the red block take it"" did you mean destroy one of the existing red blocks?"
q_561,"Which yellow block in the center? What orientation am I to understand ""to the right of the block you've just broken?"""
q_587,How many purple blocks?
q_617,Where are the instructions for adding and removing blocks?
q_628,what side should the blue blocks or purple blocks be placed next to the green blocks?
q_93,Which green cube would you like to move to the left? Do you want them destroyed?
q_623,Which red block exactly is it referring to?
q_665,Do we start from the east or the west to reach our destination?
q_616,There are no white blocks.
q_69,The newest or oldest middlemost block?
q_523,Where in the center of the board do I draw the green line to?
q_159,What are we doing with the blue steps?
q_28,How many red blocks need to be placed?
q_747,Do you mean remove the top blue block as there is no purple block on top of a yellow block?
q_705,Which green block do I place in front of?
q_942,Do you mean yellow or red blocks?
q_469,There are no existing orange blocks. Can't execute.
q_878,How high should I build the orange blocks?
q_595,How many blocks does the pile of purple blocks contain?
q_699,Do I break the structure already in the northwest corner first?
q_612,Doesn't specify how many green boxes the upside down T shape boxes should be either vertical or horizontal.
q_448,Are there two orange blocks total or two orange blocks on each side?
q_290,"Not sure what is meant by ""lowest block opposite the purple column"""
q_605,Doesn't specify whether to put the yellow box ON TOP or adjacent next to it. Confusing instructions.
q_410,Do i place a block on top of each block ?
q_600,What color blocks should be placed?
q_654,Instructions unclear as there are 3 green blocks to be left over not two.
q_907,"Shouldn't reference ""me"""
q_542,What orange blocks?
q_550,How many blue squares? What is meant by finish green rectangle?
q_577,Needs more info on how many purple blocks
q_235,Where to the southwest do I build?
q_376,how tall should the structure be?
q_959,Which purple blocks - all three rows or the two on the ends?
q_226,Place 4 yellow blocks behind what ?
q_501,Do I put the blue block on the new purple blocks or the old?
q_867,Is it a single row of yellow blocks? How high?
q_415,should clarify if in the same spot as the yellow blocks
q_986,Where should the row begin?
q_799,Doesn't specify which side of the column.
q_640,"Doesn't specify how much a ""pile"" is unable to execute."
q_964,What block was built and destroyed and where were all the blocks placed?
q_847,"Where on the figure is ""across"" from the green and red blocks?"
q_707,Do I add 4 squares to each face (if so where?) or 4 total?
q_507,Where do you want the cubes and how big do they need to be?
q_186,Which edges do I add a blue block? Perpendicular or vertical?
q_824,How many blocks should the cube be and should it be horizontal or vertical?
q_100,Should the three yellow blocks be placed horizontally or vertically?
q_367,Doesn't say where to put the 3 blue blocks or if you should replace it with the deleted purple blocks.
q_90,Which red block for there are two?
q_536,Away from the blue towards the east?
q_978,It is not clear about where to build the blocks it is not clear about which color of blocks to build.
q_23,Can you be more specific about the placement and total number of blocks to be placed?
q_923,which green block you are mentioning to build at? there are four green blocks to begin.
q_178,How many red blocks should I use to build the pile? Is it a pile or a column?
q_631,Doesn't specify which 3 yellow blocks to destroy as there are more than 3.
q_740,What is the map?
q_337,How many blue blocks are there to be added on top of the purple and red blocks?
q_183,Doesn't specify where exactly to put the blue boxes as there are multiple places to put them next to the dark blue boxes.
q_750,Are the towers right next to the middle one?
q_78,what color should the diagonal columns be?
q_743,In what configuration should a trio of blue blocks be added to every corner?
q_358,In which direction do we place the 4 red blocks in a vertical column?
q_202,Directly in front of the extremity or on the ground?
q_709,Do I build it vertically or horizontally?
q_957,Which blocks do you mean by horizontal? Is it the row of blocks that are in the fifth level of the structure?
q_856,On which red block should the purple tower be placed?
q_147,What blue blocks? If intention is to break the boxes that look purple to me do I break the three vertical center blocks or the three horizontal center blocks?
q_849,Where do I place the follow up rows on the previous rows?
q_443,How many purple blocks are to be placed on top of each yellow block?
q_136,Which block is on the left green that one yellow block should be placed?
q_348,I do not know where exactly i you want me to place the yellow block as they are all at the same elevation. Should i place them on the left side also or should i place two in the center. I just need to know where to build first.
q_370,Which direction do I place the yellow line?
q_257,There are no purple boxes so do you want the northern-most blue boxes destroyed?
q_144,Is the square flat or standing?
q_975,Should the blue line touch the north wall or the south wall?
q_452,How far east should the four blocks be stacked?
