qrel,ClarifyingQuestion
q_880,How do I connect the towers? What do I build to do that? Also do I build a two block tall blue tower on top of the existing blue or make it into a 2 block tower?
q_934,How far to the north should I move? Should the block row run to the right or left?
q_904,"By ""arrange"" did you mean destroy one and place another block somewhere else?"
q_581,Where in the middle of the map?
q_478,Which direction were you facing while doing this?
q_557,Where to the east do I stack them?
q_320,First and third row placement of yellow box is unclear if it should be horizontal or vertical?
q_963,Place the blue blocks horizontally where?
q_1,As the red structure is east of the green stack just placed should the blue blocks go east?
q_184,Doesn't specify in which direction to place the L shape boxes. West north south east of the it?
q_864,Where on the east side of the yellow structure is a stack of two green blocks to be placed?
q_851,Where near the purple blocks are three blue blocks to be placed?
q_833,Do I build it perpendicular or parallel to the blue structure?
q_421,does not specify color of the blocks being placed
q_251,Please provide instructions rather than a personal narrative?
q_533,Do I stack them horizontally or vertically? How far above on top of the red block?
q_77,How many red blocks are to be built on top of the blue blocks?
q_762,Which two purple blocks need to be destroyed?
q_495,Do I stack them horizontally or vertically? How far above on top of the block?
q_615,"There are multiple blue blocks so which one should be removed? Also what do the instructions ""one blue to my left and yellow to my right"" mean?"
q_655,How large should the tree shape be?
q_113,Where to build 3 blue blocks ?
q_558,Destroy which two purple blocks ? top bottom
q_123,How many yellow boxes in total? Doesn't specify what exactly to do. There are two places in which I can 'finish the handle'
q_917,Should I place them in a column or a line?
q_5,Do you want the green blocks on the sides of the yellow block or on top of it?
q_801,Where between them? Do I place a row or a column?
q_4,It says to place two blocks on the green block assuming yellow block should be on the purple block.
q_554,What color should the two more blocks be?
q_264,Where on each of the two lower blocks should two blue block extensions be placed?
q_726,Should the two green blocks be placed on top of each other or next to each other?
q_745,There are multiple purple blocks so which one is the one that needs to be broken?
q_845,There are no red blocks here; where should the yellow blocks be placed?
q_152,How many blocks should be in each row?
q_180,How do I place the two orange blocks on each side? Vertically or horizontally?
q_166,There are four yellowish blocks. Do you mean to break the lighter yellow blocks and exclude the darker yellow block?
q_380,On top of the green block do I place the blue block purple block and another blue block vertically or horizontally?
q_711,Which two red blocks specifically do I place the green one on?
q_871,Which 2 blocks should be destroyed?
q_121,On which side of the west most purple blocks?
q_432,Do the blue blocks go vertically or horizontally?
q_982,There are five faces showing on the yellow block. Which four faces did you add a block to?
q_309,How should the trio be placed?
q_926,Where do you want the single blue block placed please specify?
q_643,Which two purple blocks do you want destroyed?
q_885,How far to the West side of the red do I place the two yellow blocks?
q_774,Where specifically do I add the yellow blocks?
q_425,Which yellow block do you want the blue blocks around?
q_444,Yellow blocks are not on same level thus it is not possible to build strip rather an individual block will have to be put.
q_524,Where should I build the first blue block?
q_374,Which two red blocks should I destroy? Also where should I build the three blue blocks?
q_836,Which 2 blocks do I destroy? Where do I place the 3 blue blocks?
q_117,Which purple block should be destroyed? Where should the row of green blocks be built?
q_834,"What does ""represent tennis"" mean?"
q_97,Forward in which direction?
q_409,Which two blocks do you want destroyed? Where do you want the blue row placed?
q_498,How far to the West side of the the west-most blocks do I make the stack?
q_239,How many do you mean when you say pile?
q_935,Do I connect them from the top or bottom blocks?
q_318,Where is the lowest purple block at which a blue block is to be placed along its north side?
q_210,Should the three blocks be added in a column?
q_276,Please provide instructions rather than narration?
q_694,There are four red blocks are there. So which 2 red blocks to destroy? and In which place to create 3 block in a row and its colour?
q_464,Where should this cube be placed on the grid?
q_556,How big is the pile? And is a 'pile' blocks stacked atop each other?
q_87,How many total orange blocks do I place?Do I fully surround the purple blocks?
q_723,Where in the Southeast corner?
q_355,Where on the green structure did you add the blue columns?
q_304,Should the blue blocks be in a row or a column? If the blue blocks should be in a row in which directions should the row run?
q_10,How many blocks should this line be? Which direction should the line run?
q_535,Which of the 4 red blocks should be destroyed?
q_81,How do I place them on top of the other block? Vertically?
q_814,number of Green blocks to be placed not given and last part of the instruction not clear
q_42,Where in the northeast corner?
q_142,How do I place the 5 red blocks on top? How are they arranged?
q_688,By the bottom of the map do you mean south?
q_697,Which purple block should be destroyed and which way should the blue blocks go?
q_574,Where should I place the cube on the grid? How many blocks should be in the cube?
q_500,What levels of the purple column do I build the red blocks?
q_115,Which two red blocks should I destroy? There are four on the map. Also what orientation and what color should the blocks built be?
q_608,What color blocks should be used?
q_35,Which specific block should I destroy and what color/direction/position should the three block row be?
q_80,Which of the two south most purple blocks do I place two blue blocks to the east of?
q_27,Where should the red line originate? Should it run east-west or north-south?
q_450,The instruction to build 6 3x2 blocks so that the structure is half purple is unclear.
q_539,What blocks should I break or build? There is nothing to execute here.
q_735,How many blue blocks were built in the column?
q_575,Should I just build one orange block? Because there is only space between the yellow blocks for one block and that is not enough space for a row.
q_338,How many blocks should make up the cube? Where on the grid should it be placed?
q_622,Doesn't say which blocks to destroy and which color of blocks to add.
q_936,Should the blocks be placed to the left or the right of the red blocks?
q_906,Where should the tower be placed? Am I meant to stack the blocks one on top of the other?
q_782,For every block on each side of the yellow block still facing south what color blocks should these blocks be?
q_54,How many of each blue orange and yellow blocks should I place?
q_563,Where do we place the three blue blocks?
q_970,"Does the tip of the arrow count as ""extra part""?"
q_955,How many blocks in the cube and how far south?
q_983,Where do I put the purple block?
q_118,Destroy which one block?
q_263,Where are two green blocks to be added to the existing green block?
q_624,Do I add a row of 4 on each red top or total?
q_13,Which two blocks should I destroy? Also where should I build the blocks and what color should they be?
q_160,What is the orientation of the 3 different colored blocks on top?
q_216,Do I stack the blue boxes horizontally or vertically?
q_3,How many blocks wide should the orange cube be?
q_223,What color block goes in the SouthEast corner?
q_399,There is a 5 block purple column is that the column you are referring to?
q_413,Three total or three on each green block?
q_483,There are no blocks to destroy. And what color are the new blocks to be built?
q_582,What color blocks should I place to the west of the blocks?
q_475,I do not see any purple blocks hereto start building from would you like me to replace the green blocks with orange blocks instead in the direction specified.
q_882,What block should I destroy? What color blocks should I build and where?
q_704,On which of the purple blocks should the row of 3 blue blocks be placed?
q_171,The farthest east part of the structure is a column of blocks so which one should remain?
q_61,Where on the left side of the structure should a three by three red square be built?
q_683,how many green blocks needed to built?
q_275,which block to destroy?where to build 3 blocks and ii it horizontal or vertical?
q_130,Where and how many blue blocks need to be built next to purple blocks and under yellow blocks?
q_250,How many yellow blocks?
q_634,Should the blocks be placed in a column or the start of a horizontal line?
q_404,How should the green boxes be stacked on the red box?
q_953,Where do I put the green blocks? How many green blocks should be placed?
q_195,Which block do you want destroyed? Where do you want the row of 3 built? Which color should the row of 3 be?
q_684,The instructions appear to be unfinished; what should be removed?
q_947,You will have to specify which blocks to build and break.
q_929,Where under the block do I place the red block?
q_76,Should the blue boxes be stacked in the corner or along north the edge?
q_508,How do I place the green and purple blocks?
q_401,Please explain what you want me to delete or add for boxes?
q_346,Arrange the purple and green blocks one by one on which squares and in what order?
q_274,No 'white blocks' available to place on the board
q_702,On which side of the red blocks do I place the green blocks?
q_670,Can you clarify the placement of the blocks? Which blue block and where is the red block?
q_770,This is not a command on what to build would you like me to maybe destroy some of the west most green blocks or build something else on top i need a command to start with
q_540,Do you mean to remove the three middle blocks horizontally or vertically?
q_430,How many purple and green blocks and in what order should they be placed?
q_815,Where on the south side of the map should the cube be built?
q_657,Where should six green blocks to the west of the west-most blocks be stacked relative to the west-most blocks?
q_891,"What color should this ""line"" be on the left side of what should I build the one red block and what does ""1 red south face"" mean?"
q_672,How many blocks do I place?
q_303,Should this be two green blocks in each of the cardinal directions?
q_344,Where is the blue block on which two green blocks are to be placed on the right side of it?
q_169,Where would you like to place the purple and green blocks exactly?
q_822,"Since instruction indicate this looks like a person unsure if ""body"" is whole structure so break the two bottom blocks touching the map surface or does ""body"" mean mid section?"
q_215,How many blue blocks need to be added from the southwest corner?
q_440,"Unclear what ""next to means."" Are we suppose to place an orange block to cover every single yellow block or only on the highest yellow block?"
q_95,"What do you mean by ""good robot response""?"
q_396,I am facing north but what do I do from there? Do I place purple and green blocks? Where should I place them if that is what I'm supposed to do?
q_506,How many purple and green blocks need to be arranged one by one and where will they be arranged?
q_796,"Can you be more specific about the block that needs to be destroyed in the second step ""middle of the rightmost column""?"
q_734,How many orange blocks are in the column?
q_669,Where is a cube with eight green blocks to be built between the blue and red blocks?
q_668,Where north of the green blocks should the green blocks be mirrored with yellow blocks?
q_412,Should the yellow boxes start on the east or west edge of the high purple row?
q_583,Which the PERSON PERFORMING BEHAVIOR is also doing
q_119,What does arranged mean in this scenario? Do I build green blocks? Where do I build them? I feel like they should be built on top of the purple row but the instructions are unclear.
q_578,What color blocks and how should they be arranged?
q_322,What column?
q_52,Which right side? Need to know location where to place using north east west or south for direction.
q_332,What do I need to do?
q_145,"What does ""a pile"" look like and how many blocks?"
q_267,Where between the upper blocks in the two purple stacks is a purple block to be placed?
q_427,Do you mean to remove them or add them?
q_237,What do I do after facing north with regards to arranging purple and green blocks?
q_213,Do I delete the fourth upper yellow block as well to place new blocks on top of the bottom yellow block or are they meant to be placed against a different side of it?
q_538,Where do you start and what do you build in the upper side?
q_248,Does not specify which color box to put after the first instruction. Please explain which color you would need for the 2nd step.
q_259,By either side do you mean the north and south sides of the eastern purple block?
q_260,How do i replace the purple blocks in the air?
q_777,Where do I arrange purple and green blocks and how many after I face north?
q_32,Did you mean middle column? If you meant row the bottom middle block is being barricaded by a red block and the free sides would not be known to be up/down versus east/west.
q_192,How many purple blocks should be removed?
q_510,Do you mean the yellow or the blue block on the east?
q_220,How many purple blocks should be placed in total?
q_438,How many purple and green blocks will be arranged and how will they be arranged in a one by one configuration?
q_662,How many purple blocks need to be added on top of the purple shape?
q_933,While facing north where should a tower made of five red blocks be built?
q_830,What color should the blocks be?
q_431,Where do I build the purple and green blocks?
q_224,Unsure how adding three block blocks to each single blue block will eventually lead this to a rectangular shape? Where do the two rows of more blue blocks come into play?
q_37,Which three purple blocks? There are four on the map
q_503,Which spaces should have green blocks as the ones I see appear to be white or grey?
q_927,Where do you want these blocks arranged specifically?
q_810,What colored block needs to be added to the top of the red blocks?
q_247,How many purple blocks are in the horizonal row?
q_206,Do you mean to break the yellow blocks?
q_489,How many blocks to be placed on the green blocks?
q_205,What color should the tower of blocks be?
q_838,Where and how are four blocks to be placed on top of the purple tower?
q_419,Should I place the two red blocks stacked on top of each other? Or should I place them in a row?
q_829,How many yellow blocks should be added on top of each red block?
q_541,Add three blue blocks where in the center of the north wall?
q_858,Where do I place the block on the figures?
q_36,Where do I place the purple blocks on the grid?
q_841,How many purple and green blocks need to be arranged in a one by one configuration while facing north?
q_255,Do you mean in a horizontal line all the way across and alternating?
q_861,How many green and blue boxes need to be stacked on the south east corner edge of the map?
q_502,After moving all the way north where should three yellow blocks be placed on top of each other?
q_559,Where should I place the tower of blue blocks? I see two locations where a tower of three could fit.
q_41,What color blocks do I need to place?
q_621,"What does ""robot responce is very well"" mean?"
q_153,How many purple and green blocks?
q_693,From which direction are you considering this to be a stairway? (North south east west)?
q_609,Will you clarify where to place the blocks?
q_172,How many purple blocks should be placed and how should they be arranged?
q_754,Which two of the three green blocks on the ground level need to be destroyed?
q_56,Where exactly do I need to place the tower of three yellow blocks?
q_866,How long should the row of red blocks be? Should it span across the entire east edge or should it be shorter?
q_546,Which two blocks should be destroyed?
q_971,Where do I place the 3 purple blocks?
q_116,Where on the fourth row should the blue blocks go?
q_809,Where is one space away from a yellow structure to the east that a column of yellow blocks should be built?
q_434,Did you mean to break the block under the top yellow block and place a red block? Or did you mean to only break the block under the top yellow block and leave it empty? (There is no place above the red column for a red block based on the build design received.)
q_212,What color should the cube that I build be?
q_449,Destroy which 3 blocks?
q_99,Which side do you want the purple blocks placed? Do you want them horizontally or vertically placed? Which ones should touch the yellow structure?
q_585,Can you be more specific about the placement of the blocks?
q_855,What color do i use to complete the shell around the yellow blocks?
q_371,Which block do you want destroyed? Where do you want the 3 blocks built? In which orientation do you want the 3 blocks built? What color do you want the 3 blocks to be?
q_802,There are 4 bottom cubes which two should be broken?
q_373,facing which direction to build those 3 blocks?
q_173,In which specific place to build the tower?
q_465,Can you be more specific about the placement of the row of purple blocks?
q_45,Where should I start placing the purple blocks? There are four purple blocks already on the map so which one should I place them to make a row with?
q_372,Where do I need to place the blocks?
q_9,Can you give me a more specific location for the one blue block in the last instruction?
q_920,Instructions ambiguous.  Which one block to destroy and where should we build the other 3 blocks?
q_857,How many blocks total do i place?
q_162,"What does ""further south"" mean? Is it one block south or all the way to the edge south?"
q_910,The space is two-dimensional and includes nine spaces did you want this built in the diagonal direction? Please specify.
q_390,What color blocks should be used? How long of a wall should be built?
q_256,Which block should I destroy? Also where should I build the 3 blocks and what color should they be?
q_139,Since the red block(s) are on the northwestern most corner it is physically impossible to place a blue block to its left while looking north. Please advise on where you would like the blue block placed?
q_299,tell exact slots to built the those blocks.
q_454,Which three blocks were destroyed?
q_196,Which block do you want destroyed? Where do you want the 3 blocks built? How do you want them built? What color do you want them to be?
q_632,What color should those blocks be?
q_300,Where should the tower of blue blocks be built?
q_79,What orange block?How do I place the three yellow blocks?
q_696,On which side of the green blocks should the red tower be built?
q_635,Which block should I destroy? Also where should I build the blocks and what color should they be?
q_420,Where on the right side do I build the blue block?
q_667,Which one block to destroy and where do I build the other three blocks and how?
q_793,"Where should I place the cube of yellow blocks? I need more precise instructions because ""next"" is too vague."
q_156,Which block do you want destroyed? Where do you want the other 3 blocks built? What color do you want the 3 blocks built to be?
q_329,On which side of the green tower should the tower of four yellow bricks be placed?
q_909,Where on the west and east sides do I build the purple block?
q_330,Where on the north side do I build the yellow block?
q_18,On which side of the tower should I build the new tower?
q_334,Following the instructions of removing one row on top would result in a three-by-two red rectangle did you mean remove two rows on top or did you mean three-by-two red square?
q_691,There aren't any purple blocks on this map; should the blue tower be destroyed instead?
q_752,What and where and how do I build another three blocks?
q_292,What do you mean by arranging blocks? If I am supposed to build purple and green blocks where should I place them?
q_84,On which side to mirror the blocks?
q_714,The middle is hard to readily determine.
q_365,Which row of blocks are the middle?
q_43,What is the color of those blocks to built?
q_958,Where should the 3 blocks be placed?
q_470,What do you mean by fillet? What kind of shape do I build with that?
q_297,Destroy which one block and build what kind of blocks where?
q_181,Did you mean one red block?
q_339,How exactly do I need to place five orange blocks?
q_125,How many blocks should be in the bottom of the pile?
q_243,Should the purple column go on top of the orange column or next to it?
q_630,The instructions don't say what color block to place on the first steps. Needs more clarification.
q_596,Did you mean in the same pattern as the other structures on the map or in a different design?
q_915,There is only space for one blue box under the green blocks - what is the positioning of the remaining two blocks?
q_284,Should the line of blocks travel North or Eest?
q_234,What color do I make the 11 block wall along the northern border?
q_725,Where would you like me to add the green and purple boxes? Doesn't specify exact location.
q_63,What should I build or destroy there?
q_859,Where on the south side of the map should the cube be?
q_103,Where underneath the tower do I place the block?
q_331,Should the north corner be in the east or the west?
q_203,On which square in the corner do I place the blocks and how exactly do they need to be stacked?
q_571,As the fourth row from the west is not under the green pillar should the instructions read fifth row or should the new stack be slightly left of the green pillar?
q_649,Where to the left and right do I place the purple block?
q_328,which
q_602,How many of each block do I need to place?
q_764,Which blue box do you want me to destroy? Also which color three blocks to add and where?
q_446,Where would you like the purple blocks placed and arranged?
q_364,Where do I place the purple or green blocks?
q_188,How many purple and green blocks and where should they be placed?
q_282,How many purple and green blocks should be placed and it which direction?
q_451,I see no blue blocks only a green tower. Where would the three blocks be build and what color?
q_647,Where in the southeast corner do I create it?
q_650,Do you want the line of blue blocks to be at the base of the purple column?
q_207,Where in the corner do I place the column of blocks?
q_422,The board is empty and there aren't any blocks to destroy so what color should the 3 blocks be how should they be arranged and where are they on the board?
q_979,Which red box to destroy? Also which color of the three blocks and where to add?
q_200,where to start building? which block and place to start with? how many blocks to build in total?
q_689,Destroy which blue block? Build what color blocks where?
q_148,I don't see a purple block do you mean yellow instead?
q_351,Which red block should be destroyed and what color should the new blocks be?
q_717,What do you mean when you say tan square?
q_482,Should the vertical stack go north or west?
q_663,What color blocks do I build?
q_547,Where should the other 3 blocks be built?
q_531,Am I putting down purple and green blocks? If so where?
q_287,What color are the three blocks that should be built?
q_641,What should I do with a green block?
q_473,Face north and place three green blocks horizontally next to the blue block on the north side of the blue block
q_47,Arrange the purple and green blocks one by one at which square?
q_83,Where do you place the purple blocks?
q_44,Where specifically should the pile go?
q_816,Where on the green structure should two blue blocks be placed in a vertical row?
q_832,On which square next to the blue blocks do I build the vertical stack?
q_265,**Instructions do not state what I should do at all.**  What should I build or remove from the grid?
q_312,On which spaces of the board should the eight green blocks be arranged?
q_238,Should I make one column or two?
q_165,Where do I start building blocks? What color should they be?
q_462,With which color and in which corner should I start the row with?
q_441,How many purple and green blocks and where are they on the board?
q_295,"Should I destroy only the blue blocks on the east side of the structure or does ""middle"" refer to other blue blocks?"
q_613,What should I do after?
q_433,Where exactly would you like me to place the green and purple boxes and how many exactly?
q_423,Where under the purple blocks do I place the blue blocks and with what alignment?
q_199,Can you be more specific about the placement and number of blocks to be placed?
q_520,I am facing north but I don't understand the rest of the instructions. What does arranged mean? Does that mean I will be building blocks? Where should I build the purple and green blocks then?
q_972,Do you mean replace them with purple ones?
q_943,Am I supposed to put a yellow block on the east and west ends of the yellow row?
q_319,Do you mean to make a checkered pattern with them?
q_903,What style/pattern do I need to build the green blocks?
q_721,Which three of the four stacked red blocks on the east side need to be destroyed?
q_586,Can you please clarify on what actions need to be taken as no instructions were given?
q_298,Does it start from the top or the bottom block?
q_7,What is supposed to be done with the purple or green blocks?
q_307,Build a vertical tower of four red blocks next to the green block furthest to the west.
q_860,How many red and blue blocks?
q_560,While facing north where should the green blocks be placed and how many of them?
q_886,Where do I place the purple and green blocks?
q_837,Where do I arrange the purple and green blocks?
q_91,Please expand on instructions.
q_286,Which block do I need to destroy?
q_484,What direction should I be facing?
q_253,Where do the purple and green blocks go exactly?
q_182,Which purple block should be destroyed as there are two on top of the building?
q_254,Where should a green block be placed that is top left of which green block?
q_518,"How many squares should the southward ""wall"" cover?"
q_397,How is the pile placed vertically or horizontally?
q_687,stack 4 orange blocks on the very north west corner then destroy the 4 red blocks that are the farthest to the west
q_345,Where should I add a box?
q_620,How tall was the tower?
q_865,What are the instructions? There is no information to use.
q_88,Where on each purple block is a red block to be placed?
q_154,Where should I place the purple block?
q_381,There are no orange blocks did you mean yellow blocks?
q_901,Should I be adding purple or green blocks or both? Where should they be added?
q_868,Where are green blocks to be arranged?
q_875,Not sure what the single blue block between the row of blocks is
q_749,How should the blocks be arranged?
q_888,Is the arrangement vertical or horizontal?
q_642,Where in the southwest corner do place the block?
q_974,Where should the purple and green blocks be placed in relation to the existing blocks?
q_317,Can you be more specific about the placement of the final green blocks?
q_168,Where on the top row should the two red blocks go?
q_198,What is supposed to be done with the purple and green blocks?
q_278,Destroy which block and build what colored blocks in what spots?
q_973,What do I do with purple green blocks and how are they arranged?
q_266,I do not know where i should start building the purple and green blocks do you want me to build out from the center of the structure maybe or build at the top?
q_826,What blocks should be placed or destroyed?
q_656,Where do you want the purple and green blocks placed/arranged and in which way (vertical horizontal)?
q_848,Should the new blocks be added to the right or left of existing green block?
q_26,With what pattern/alignment do I place the purple and green blocks?
q_949,With what pattern/alignment do I place the purple and green block?
q_219,Can you please clarify where the purple and green blocks will start how many to place of each color and in what order?
q_268,Should the yellow blocks be placed vertically or horizontally?
q_108,How wide should the base of the cube be?
q_846,Should the new block columns be placed on the corners of the grid or the corners of the structure?
q_176,Can you please clarify which portion of the northern edge to build on as the edge has many places to start?
q_798,Which block do i stack the blocks too?
q_283,How many blue blocks should I place?
q_368,What should I connect the two towers with assuming you meant towers and not towels?
q_549,On what side do I place the tower?
q_532,There are only red and blue blocks. Where exactly would be considered in between the blocks present?
q_227,Where to the west? How do I stack them? Vertical/Horizontal?
q_60,On the right side of the blue block?
q_783,Where do I place the green block?
q_819,Hoe many blocks do I use to make full row?
q_296,how many blocks do I need to form square?
q_939,On which side of the red blocks should the tower of blue blocks be placed?
q_562,What compass direction are the red squares to be destroyed in?
q_411,what direction should I face?
q_20,What 3 green blocks did you destroy?
q_68,After the red block destruction is it meant to place a blue block or destroy one?
q_92,Where do I start placing the red blocks? Should it be on the south face of the red block?
q_158,what direction should the L-shape head towards?
q_490,Which direction is the row going?
q_405,Where should I build the blue blocks after destroying the red blocks? Should I replace the red blocks with blue?
q_738,Would the row of 2 blocks be under the blue structure just added?
q_105,There are only orange blocks not yellow.
q_310,Left and right as I face which direction?
q_241,Which way should the orange blocks be placed?
